trial_id,plot_id,row,column,replicate,block,treatment,genotype,yield_t_ha,protein_pct,moisture_pct
Wheat_2026_Field_A,P1323,13,23,3,B05,Standard N,G02,7.902,10.812,12.777
Wheat_2026_Field_A,P1324,13,24,3,B05,Control,G07,6.758,10.869,12.859
Wheat_2026_Field_A,P1401,14,1,1,B05,Low N,G01,5.994,10.693,12.665
Wheat_2026_Field_A,P1402,14,2,1,B05,High N,G06,6.759,10.938,13.148
Wheat_2026_Field_A,P1403,14,3,1,B05,Low N,G11,5.551,10.747,13.101
Wheat_2026_Field_A,P1404,14,4,1,B05,High N,G04,7.441,10.858,12.948
Wheat_2026_Field_A,P1405,14,5,1,B05,Low N,G09,5.621,10.709,12.958
Wheat_2026_Field_A,P1406,14,6,1,B05,High N,G02,8.104,11.028,12.298
Wheat_2026_Field_A,P1407,14,7,1,B05,Low N,G07,6.362,10.456,12.979
Wheat_2026_Field_A,P1408,14,8,1,B05,High N,G12,6.836,10.396,12.718
Wheat_2026_Field_A,P1409,14,9,2,B05,Standard N,G06,6.631,11.195,12.602
Wheat_2026_Field_A,P1410,14,10,2,B05,Control,G11,5.361,10.813,12.781
Wheat_2026_Field_A,P1411,14,11,2,B05,Standard N,G04,6.147,11.033,12.337
Wheat_2026_Field_A,P1412,14,12,2,B05,Control,G09,4.661,10.653,12.846
Wheat_2026_Field_A,P1413,14,13,2,B05,Standard N,G02,6.012,11.217,12.514
Wheat_2026_Field_A,P1414,14,14,2,B05,Control,G07,4.261,10.796,12.58
Wheat_2026_Field_A,P1415,14,15,2,B05,Standard N,G12,5.69,11.122,12.764
Wheat_2026_Field_A,P1416,14,16,2,B05,Control,G05,5.035,10.973,12.804
Wheat_2026_Field_A,P1417,14,17,3,B05,High N,G11,5.302,11.116,12.92
Wheat_2026_Field_A,P1418,14,18,3,B05,Low N,G04,4.58,10.83,12.737
Wheat_2026_Field_A,P1419,14,19,3,B05,High N,G09,4.843,11.476,12.996
Wheat_2026_Field_A,P1420,14,20,3,B05,Low N,G02,5.377,10.888,12.686
Wheat_2026_Field_A,P1421,14,21,3,B05,High N,G07,6.431,10.882,13.057
Wheat_2026_Field_A,P1422,14,22,3,B05,Low N,G12,5.751,10.544,13.287
Wheat_2026_Field_A,P1423,14,23,3,B05,High N,G05,7.477,11.144,12.736
Wheat_2026_Field_A,P1424,14,24,3,B05,Low N,G10,6.327,10.764,12.623
Wheat_2026_Field_A,P1501,15,1,1,B05,Standard N,G04,6.078,11.025,12.62
Wheat_2026_Field_A,P1502,15,2,1,B05,Control,G09,4.735,10.789,13.009
Wheat_2026_Field_A,P1503,15,3,1,B05,Standard N,G02,8.15,10.767,12.943
Wheat_2026_Field_A,P1504,15,4,1,B05,Control,G07,5.493,10.288,12.509
Wheat_2026_Field_A,P1505,15,5,1,B05,Standard N,G12,6.653,11.051,13.111
Wheat_2026_Field_A,P1506,15,6,1,B05,Control,G05,7.616,11.032,12.72
Wheat_2026_Field_A,P1507,15,7,1,B05,Standard N,G10,6.666,10.738,12.589
Wheat_2026_Field_A,P1508,15,8,1,B05,Control,G03,5.791,10.7,12.513
Wheat_2026_Field_A,P1509,15,9,2,B05,High N,G09,6.606,10.708,12.864
Wheat_2026_Field_A,P1510,15,10,2,B05,Low N,G02,7.111,11.072,12.828
Wheat_2026_Field_A,P1511,15,11,2,B05,High N,G07,6.678,11.069,12.245
Wheat_2026_Field_A,P1512,15,12,2,B05,Low N,G12,5.826,10.871,12.545
Wheat_2026_Field_A,P1513,15,13,2,B05,High N,G05,7.742,11.01,12.675
Wheat_2026_Field_A,P1514,15,14,2,B05,Low N,G10,5.085,10.834,12.605
Wheat_2026_Field_A,P1515,15,15,2,B05,High N,G03,6.936,10.833,12.993
Wheat_2026_Field_A,P1516,15,16,2,B05,Low N,G08,5.143,10.876,13.036
Wheat_2026_Field_A,P1517,15,17,3,B05,Control,G02,5.352,11.005,12.574
Wheat_2026_Field_A,P1518,15,18,3,B05,Standard N,G07,5.596,10.997,13.358
Wheat_2026_Field_A,P1519,15,19,3,B05,Control,G12,4.846,10.834,13.375
Wheat_2026_Field_A,P1520,15,20,3,B05,Standard N,G05,6.053,10.337,13.233
Wheat_2026_Field_A,P1521,15,21,3,B05,Control,G10,4.956,10.571,13.102
Wheat_2026_Field_A,P1522,15,22,3,B05,Standard N,G03,6.562,11.31,13.136
Wheat_2026_Field_A,P1523,15,23,3,B05,Control,G08,6.461,10.478,13.175
Wheat_2026_Field_A,P1524,15,24,3,B05,Standard N,G01,6.734,10.973,12.981
Wheat_2026_Field_A,P1601,16,1,1,B06,High N,G07,7.202,11.552,12.619
Wheat_2026_Field_A,P1602,16,2,1,B06,Low N,G12,5.537,10.659,12.567
Wheat_2026_Field_A,P1603,16,3,1,B06,High N,G05,7.418,10.916,12.968
Wheat_2026_Field_A,P1604,16,4,1,B06,Low N,G10,5.403,11.076,13.188
Wheat_2026_Field_A,P1605,16,5,1,B06,High N,G03,6.942,10.819,12.565
Wheat_2026_Field_A,P1606,16,6,1,B06,Low N,G08,6.222,10.572,12.925
Wheat_2026_Field_A,P1607,16,7,1,B06,High N,G01,7.319,11.016,12.685
Wheat_2026_Field_A,P1608,16,8,1,B06,Low N,G06,6.897,10.462,12.572
Wheat_2026_Field_A,P1609,16,9,2,B06,Control,G12,5.597,10.902,12.647
Wheat_2026_Field_A,P1610,16,10,2,B06,Standard N,G05,7.69,11.168,12.521
Wheat_2026_Field_A,P1611,16,11,2,B06,Control,G10,5.594,10.888,12.208
Wheat_2026_Field_A,P1612,16,12,2,B06,Standard N,G03,6.566,10.739,12.868
Wheat_2026_Field_A,P1613,16,13,2,B06,Control,G08,5.522,10.749,12.539
Wheat_2026_Field_A,P1614,16,14,2,B06,Standard N,G01,6.272,10.993,12.147
Wheat_2026_Field_A,P1615,16,15,2,B06,Control,G06,6.007,10.577,12.779
Wheat_2026_Field_A,P1616,16,16,2,B06,Standard N,G11,5.757,10.873,12.52
Wheat_2026_Field_A,P1617,16,17,3,B06,Low N,G05,5.624,10.753,12.778
Wheat_2026_Field_A,P1618,16,18,3,B06,High N,G10,5.488,10.951,12.688
Wheat_2026_Field_A,P1619,16,19,3,B06,Low N,G03,5.14,10.85,13.23
Wheat_2026_Field_A,P1620,16,20,3,B06,High N,G08,6.028,11.229,13.026
Wheat_2026_Field_A,P1621,16,21,3,B06,Low N,G01,5.641,10.813,12.603
Wheat_2026_Field_A,P1622,16,22,3,B06,High N,G06,7.282,10.861,13.167
Wheat_2026_Field_A,P1623,16,23,3,B06,Low N,G11,6.415,10.667,13.228
Wheat_2026_Field_A,P1624,16,24,3,B06,High N,G04,7.678,10.971,12.725
Wheat_2026_Field_A,P1701,17,1,1,B06,Control,G10,4.961,10.584,13.103
Wheat_2026_Field_A,P1702,17,2,1,B06,Standard N,G03,6.207,10.715,12.646
Wheat_2026_Field_A,P1703,17,3,1,B06,Control,G08,5.612,10.756,12.945
Wheat_2026_Field_A,P1704,17,4,1,B06,Standard N,G01,7.093,10.543,12.525
Wheat_2026_Field_A,P1705,17,5,1,B06,Control,G06,6.274,10.897,12.597
Wheat_2026_Field_A,P1706,17,6,1,B06,Standard N,G11,6.276,10.595,12.546
Wheat_2026_Field_A,P1707,17,7,1,B06,Control,G04,6.659,10.612,12.394
Wheat_2026_Field_A,P1708,17,8,1,B06,Standard N,G09,6.716,10.923,12.474
Wheat_2026_Field_A,P1709,17,9,2,B06,Low N,G03,6.487,10.751,12.526
Wheat_2026_Field_A,P1710,17,10,2,B06,High N,G08,7.531,10.978,12.694
Wheat_2026_Field_A,P1711,17,11,2,B06,Low N,G01,6.48,10.556,12.328
Wheat_2026_Field_A,P1712,17,12,2,B06,High N,G06,7.211,10.975,12.471
Wheat_2026_Field_A,P1713,17,13,2,B06,Low N,G11,6.401,10.496,12.45
Wheat_2026_Field_A,P1714,17,14,2,B06,High N,G04,6.603,10.963,12.674
Wheat_2026_Field_A,P1715,17,15,2,B06,Low N,G09,5.491,10.414,12.53
Wheat_2026_Field_A,P1716,17,16,2,B06,High N,G02,7.582,10.835,12.47
Wheat_2026_Field_A,P1717,17,17,3,B06,Standard N,G08,6.421,11.008,12.805
Wheat_2026_Field_A,P1718,17,18,3,B06,Control,G01,5.346,10.977,13.082
Wheat_2026_Field_A,P1719,17,19,3,B06,Standard N,G06,6.44,11.168,12.927
Wheat_2026_Field_A,P1720,17,20,3,B06,Control,G11,5.865,10.639,13.023
Wheat_2026_Field_A,P1721,17,21,3,B06,Standard N,G04,6.568,10.941,13.107
Wheat_2026_Field_A,P1722,17,22,3,B06,Control,G09,5.883,10.767,12.885
Wheat_2026_Field_A,P1723,17,23,3,B06,Standard N,G02,7.586,10.861,12.701
Wheat_2026_Field_A,P1724,17,24,3,B06,Control,G07,6.154,10.505,12.735
Wheat_2026_Field_A,P1801,18,1,1,B06,Low N,G01,5.636,10.904,13.021
Wheat_2026_Field_A,P1802,18,2,1,B06,High N,G06,7.578,10.729,13.147
Wheat_2026_Field_A,P1803,18,3,1,B06,Low N,G11,5.257,10.658,12.538
Wheat_2026_Field_A,P1804,18,4,1,B06,High N,G04,6.863,11.136,12.619
Wheat_2026_Field_A,P1805,18,5,1,B06,Low N,G09,6.117,10.595,12.724
Wheat_2026_Field_A,P1806,18,6,1,B06,High N,G02,7.743,11.539,12.635
Wheat_2026_Field_A,P1807,18,7,1,B06,Low N,G07,5.936,10.79,12.997
Wheat_2026_Field_A,P1808,18,8,1,B06,High N,G12,6.309,10.858,12.602
Wheat_2026_Field_A,P1809,18,9,2,B06,Standard N,G06,7.413,10.804,12.661
Wheat_2026_Field_A,P1810,18,10,2,B06,Control,G11,5.029,10.54,12.753
Wheat_2026_Field_A,P1811,18,11,2,B06,Standard N,G04,6.242,10.918,12.575
Wheat_2026_Field_A,P1812,18,12,2,B06,Control,G09,5.615,10.698,12.805
Wheat_2026_Field_A,P1813,18,13,2,B06,Standard N,G02,6.51,10.952,12.164
Wheat_2026_Field_A,P1814,18,14,2,B06,Control,G07,5.447,10.493,12.469
Wheat_2026_Field_A,P1815,18,15,2,B06,Standard N,G12,6.769,10.883,12.594
Wheat_2026_Field_A,P1816,18,16,2,B06,Control,G05,6.062,10.598,12.58
Wheat_2026_Field_A,P1817,18,17,3,B06,High N,G11,6.012,10.965,12.738
Wheat_2026_Field_A,P1818,18,18,3,B06,Low N,G04,5.941,10.839,12.604
Wheat_2026_Field_A,P1819,18,19,3,B06,High N,G09,6.442,10.817,13.013
Wheat_2026_Field_A,P1820,18,20,3,B06,Low N,G02,6.721,10.842,13.16
Wheat_2026_Field_A,P1821,18,21,3,B06,High N,G07,6.915,11.004,12.546
Wheat_2026_Field_A,P1822,18,22,3,B06,Low N,G12,6.396,10.526,12.509
Wheat_2026_Field_A,P1823,18,23,3,B06,High N,G05,8.106,10.734,13.263
Wheat_2026_Field_A,P1824,18,24,3,B06,Low N,G10,6.379,10.376,12.824
